ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
['72', 'Layton Kyouju to Eien no Utahime', '1', "['Oriental Light and Magic', 'Viz Media', 'P.A. Works']", "['Mystery']", 'Movie', '2009-2009', 'PG'],OrientalLightandMagicVizMediaP.A.Works,Mystery
['73', 'Muumindani no Suisei', '1', "['Telescreen BV']", "['Adventure', 'Comedy', 'Fantasy', 'Kids']", 'Movie', '1992-1992', 'G'],TelescreenBV,AdventureComedyFantasyKids
['74', 'Bungaku Shoujo (Book Girl)', '1', "['Production I.G', 'Kadokawa Contents Gate']", "['Drama', 'Mystery', 'Romance', 'School']", 'Movie', '2010-2010', 'PG-13'],ProductionI.GKadokawaContentsGate,DramaMysteryRomanceSchool
['75', 'Majokko Shimai no Yoyo to Nene (Magical Sisters Yoyo &amp; Nene)', '1', "['Aniplex', 'ufotable', 'Starchild Records', 'Tokuma Shoten']", "['Fantasy', 'Magic']", 'Movie', '2013-2013', 'G'],AniplexufotableStarchildRecordsTokumaShoten,FantasyMagic
['76', 'Strike Witches Movie', '1', "['AIC', 'FUNimation Entertainment', 'NTT Docomo', '501st JOINT FIGHTER WING']", "['Action', 'Ecchi', 'Magic', 'Military', 'Sci-Fi']", 'Movie', '2012-2012', 'PG-13'],AICFUNimationEntertainmentNTTDocomo501stJOINTFIGHTERWING,ActionEcchiMagicMilitarySci-Fi
['77', 'Waga Seishun no Arcadia', '1', "['Toei Animation', 'Animeigo']", "['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Space']", 'Movie', '1982-1982', 'PG-13'],ToeiAnimationAnimeigo,ActionAdventureDramaSci-FiSpace
['78', 'Kappa no Coo to Natsuyasumi (Summer Days with Coo)', '1', "['Aniplex', 'Shin-Ei Animation', 'Sony Music Entertainment']", "['Adventure', 'Shounen']", 'Movie', '2007-2007', 'G'],AniplexShin-EiAnimationSonyMusicEntertainment,AdventureShounen
['79', 'Aa! Megami-sama! Movie (Ah! My Goddess: The Movie)', '1', "['Bandai Visual', 'Geneon Universal Entertainment', 'AIC', 'Pony Canyon', 'Kodansha', 'Movic', 'Sega']", "['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']", 'Movie', '2000-2000', 'PG-13'],BandaiVisualGeneonUniversalEntertainmentAICPonyCanyonKodanshaMovicSega,ComedyMagicRomanceSeinenSupernatural
['80', 'Juubee Ninpuuchou (Ninja Scroll)', '1', "['Madhouse', 'Movic', 'Sentai Filmworks']", "['Adventure', 'Fantasy', 'Historical', 'Horror', 'Romance', 'Shounen', 'Supernatural']", 'Movie', '1993-1993', 'R+'],MadhouseMovicSentaiFilmworks,AdventureFantasyHistoricalHorrorRomanceShounenSupernatural
['81', 'Omoide Poroporo (Only Yesterday)', '1', "['Studio Ghibli', 'Tokuma Shoten', 'GKids']", "['Drama', 'Romance', 'Slice of Life']", 'Movie', '1991-1991', 'G'],StudioGhibliTokumaShotenGKids,DramaRomanceSliceofLife
['82', 'Metropolis', '1', "['Madhouse', 'Kadokawa Shoten']", "['Adventure', 'Drama', 'Police', 'Romance', 'Sci-Fi', 'Shounen']", 'Movie', '2001-2001', 'PG-13'],MadhouseKadokawaShoten,AdventureDramaPoliceRomanceSci-FiShounen
['83', 'Acchi Kocchi', '1', "['None found', 'add some']", "['Dementia']", 'Movie', '1962-1962', 'R'],Nonefoundaddsome,Dementia
['84', 'Afro Samurai Movie (Afro Samurai the Movie)', '1', "['Gonzo', 'FUNimation Entertainment']", "['Action', 'Adventure', 'Samurai']", 'Movie', '2007-2007', 'R+'],GonzoFUNimationEntertainment,ActionAdventureSamurai
['85', 'Captain Harlock (Space Pirate Captain Harlock)', '1', "['Toei Animation']", "['Action', 'Drama', 'Sci-Fi', 'Space']", 'Movie', '2013-2013', 'R'],ToeiAnimation,ActionDramaSci-FiSpace
['86', 'Dareka no Manazashi (Someone&#039;s Gaze)', '1', "['CoMix Wave Films']", "['Drama', 'Slice of Life']", 'Movie', '2013-2013', 'G'],CoMixWaveFilms,DramaSliceofLife
['87', 'Harmonie', '1', "['Studio Rikka', 'Ultra Super Pictures']", "['Drama', 'School', 'Supernatural']", 'Movie', '2014-2014', 'PG-13'],StudioRikkaUltraSuperPictures,DramaSchoolSupernatural
['88', 'Top wo Nerae! &amp; Top wo Nerae 2! Gattai Movie!!', '2', "['Gainax']", "['Comedy', 'Mecha', 'Shounen']", 'Movie', '2006-2006', 'PG-13'],Gainax,ComedyMechaShounen
['89', 'Brave Story', '1', "['Gonzo']", "['Action', 'Adventure', 'Fantasy', 'Kids', 'Magic', 'Supernatural']", 'Movie', '2006-2006', 'G'],Gonzo,ActionAdventureFantasyKidsMagicSupernatural
['90', 'Digimon Adventure Movie (Digimon: The Movie)', '1', "['Toei Animation']", "['Action', 'Fantasy', 'Kids', 'Sci-Fi']", 'Movie', '1999-1999', 'PG'],ToeiAnimation,ActionFantasyKidsSci-Fi
['91', 'Kowarekake no Orgel (Movie)', '1', "['ElectromagneticWave']", "['Drama', 'Music', 'Sci-Fi', 'Slice of Life']", 'Movie', '2010-2010', 'G'],ElectromagneticWave,DramaMusicSci-FiSliceofLife
['92', 'Ghost in the Shell (2015)', '1', "['Production I.G', 'FUNimation Entertainment']", "['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi']", 'Movie', '2015-2015', 'None'],ProductionI.GFUNimationEntertainment,ActionMechaPolicePsychologicalSci-Fi
['93', 'Nitaboh', '1', "['Wao World']", "['Historical', 'Music']", 'Movie', '2004-2004', 'PG'],WaoWorld,HistoricalMusic
['94', 'Little Nemo (Little Nemo: Adventures in Slumberland)', '1', "['Tokyo Movie Shinsha', 'Discotek']", "['Adventure']", 'Movie', '1989-1989', 'G'],TokyoMovieShinshaDiscotek,Adventure
['95', 'Uchuu Show e Youkoso (Welcome to THE SPACE SHOW)', '1', "['Aniplex', 'A-1 Pictures', 'NYAV Post']", "['Adventure', 'Fantasy', 'Space']", 'Movie', '2010-2010', 'G'],AniplexA-1PicturesNYAVPost,AdventureFantasySpace
['96', 'Shashinkan', '1', "['Studio Colorido']", "['Drama', 'Slice of Life']", 'Movie', '2013-2013', 'PG-13'],StudioColorido,DramaSliceofLife
['97', 'Tenchi Muyou! in Love (Tenchi Muyo! In Love)', '1', "['Geneon Universal Entertainment', 'AIC', 'Pioneer LDC', 'GAGA Communications']", "['Action', 'Comedy', 'Romance', 'School', 'Sci-Fi', 'Shounen', 'Space']", 'Movie', '1996-1996', 'PG-13'],GeneonUniversalEntertainmentAICPioneerLDCGAGACommunications,ActionComedyRomanceSchoolSci-FiShounenSpace
